Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
AFG,AFGHANISTAN,,,,,,,,,,,4.6,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,,,,,,,5.3,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,23.4,,,,25.2,,,,,30.0,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,9.9,,,,,,,,,13.5,,11.1,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,16.8,,,,,11.7,,,,16.0,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,,,,,,,,8.0,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,13.0,,,,,,,13.9,,,,,4.4,6.2,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,2.9,,,,,,,,,,,1.4,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,
BEN,BENIN,1.7,,,,,,,,11.4,,,,,3.0,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,2.8,,,,6.9,,,5.4,,,,1.9,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,1.4,2.6,,1.9,,,,1.1,0.7,0.9,0.8,0.9,0.9,0.8,0.8,0.5,0.2,1.7,0.3,0.2,0.2,0.4,0.4,0.3,0.6,,,,0.2,,,0.2,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
