Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
AFG,AFGHANISTAN,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,,,,,,,5.5,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,23.4,,,,25.2,,,,,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,14.6,,,,,9.1,,,,10.9,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,,,,,,,,12.7,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,2.6,,,,,,,,,,,1.2,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,,,11.3,,,,,2.7,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,2.9,,,,6.6,,,5.1,,,,1.7,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,2.0,,2.1,,,,1.0,0.5,0.8,1.1,0.8,0.8,0.7,0.7,0.5,0.2,2.0,0.2,0.2,0.2,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,18.0,,,,,,23.9,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,7.1,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,,,,8.1,,,,9.3,,,,,,9.9,,,,6.8,,,,,8.1,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,,,,,,,,7.7,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,BARBADOS,,13.3,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,,,7.6,,4.0,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,11.1,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
