Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
AFG,AFGHANISTAN,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,,,,,,,5.1,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,23.3,,,,25.1,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,18.8,,,,,13.9,,,,19.8,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,,,,,,,,14.9,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,3.1,,,,,,,,,,,1.7,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,,,11.6,,,,,3.3,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,2.7,,,,7.2,,,5.8,,,,2.1,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,,3.0,,1.7,,,,1.2,0.8,0.9,0.9,1.0,1.0,0.9,0.8,0.4,0.3,1.4,0.3,0.3,0.2,0.4,0.3,0.3,,,,,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,,16.7,,,,,,27.4,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,BELARUS,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,BELIZE,,,,8.6,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,BOLIVIA,,,,,,,9.2,,,,9.1,,,,,,11.3,,,,7.4,,,,,7.5,,,,,,,,,,,,,,,,,,,
BRA,BRAZIL,,,,,,,,6.9,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,BARBADOS,,11.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,
BRN,BRUNEI DARUSSALAM,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,BHUTAN,,,,,7.5,,4.8,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BOTSWANA,,,,,,,11.3,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,2.0,,,,,7.9,,,,,,10.6,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
