Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
AFG,AFGHANISTAN,,,,,,,,,,,8.6,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,8.2,,,,,,7.7,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,ALBANIA,,,,,,9.4,,,,7.3,,,,,12.2,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,,,,,,,,,,1.2,,,,,,,,,4.2,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,ARMENIA,,,,,4.2,,,,,5.5,,,,2.5,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUSTRALIA,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,AZERBAIJAN,,3.1,,,,,,,6.8,,,,,3.2,9.0,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BURUNDI,,,,6.1,,,,,,9.0,,,,,8.2,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,
BEN,BENIN,4.5,,,,,,,,8.4,,,,,9.0,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BURKINA FASO,,,,,15.4,11.3,,,24.4,,,21.2,,,,15.7,,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,BANGLADESH,14.3,18.1,,15.7,,,,17.5,12.4,12.3,12.8,13.0,12.9,13.2,15.0,14.2,15.6,20.6,16.1,15.7,17.4,14.6,18.8,15.8,17.5,,,,17.3,,,17.4,,,,,,,,,,,,,,,,,
BGR,BULGARIA,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,BAHRAIN,,,,,,,,,,,,,,,,,,,,6.6,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,
