Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003
ALB,ALBANIA,44.0,79.0,83.0,76.0,101.0,87.0,89.0,,
AND,ANDORRA,,9.0,6.0,13.0,12.0,,,,
ARG,ARGENTINA,,,,10604.0,10557.0,,,,
ARM,ARMENIA,71.0,82.0,73.0,63.0,33.0,52.0,51.0,48.0,
AUS,AUSTRALIA,5694.0,6351.0,6343.0,6382.0,,,,,
AUT,AUSTRIA,2182.0,1971.0,1682.0,1678.0,1793.0,1738.0,1674.0,2004.0,
AZE,AZERBAIJAN,,204.0,267.0,223.0,214.0,,,,
BDI,BURUNDI,664.0,699.0,700.0,599.0,,,,,
BEL,BELGIUM,6599.0,6729.0,6566.0,6458.0,6506.0,6492.0,6047.0,,5565.0
BGR,BULGARIA,649.0,696.0,726.0,749.0,764.0,911.0,1037.0,1175.0,1287.0
BHR,BAHRAIN,,,,175.0,145.0,,,,
BHS,BAHAMAS,238.0,309.0,589.0,557.0,590.0,507.0,439.0,,
BIH,BOSNIA AND HERZEGOWINA,167.0,147.0,89.0,170.0,176.0,,,,
BLR,BELARUS,,,497.0,492.0,629.0,672.0,819.0,775.0,
BLZ,BELIZE,121.0,130.0,202.0,,,,,,
BOL,BOLIVIA,3537.0,3944.0,2956.0,2571.0,2397.0,1931.0,1725.0,,
BRA,BRAZIL,45288.0,46526.0,38414.0,32270.0,29334.0,27203.0,,,
BRB,BARBADOS,,,174.0,,,,,,
CAN,CANADA,26601.0,26896.0,24821.0,25022.0,24512.0,25242.0,26348.0,25698.0,26128.0
CHE,SWITZERLAND,6121.0,6321.0,6648.0,,,,,,
CHL,CHILE,15681.0,13009.0,13178.0,12746.0,10477.0,10133.0,,,
CIV,COTE D'IVOIRE,,,,716.0,858.0,,,,
COL,COLOMBIA,8039.0,6725.0,7670.0,6821.0,7139.0,6811.0,4592.0,4350.0,
CRI,COSTA RICA,6503.0,6511.0,6502.0,5643.0,5333.0,4982.0,,,
