Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
ALB,ALBANIA,,,,,,,,96.6,,,,,,
ARM,ARMENIA,,,100.0,,,,,,,,,,,
BDI,BURUNDI,,,,,,,,92.3,,,,,,
BFA,BURKINA FASO,,,,,,,82.0,,,,,,,
BGD,BANGLADESH,,,,,,,41.2,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,87.7,,,,,99.5,,,,,,,
BLR,BELARUS,98.4,,,,,,,99.7,,,,,,
BLZ,BELIZE,,95.5,,,,,93.3,,,,,,,
BTN,BHUTAN,,,96.5,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,57.4,,,,55.8,,,,,,,
CIV,COTE D'IVOIRE,,,,,,,78.2,,,,,,,
CMR,CAMEROON,,,,,,,62.4,,,,,,,
COD,"CONGO, THE DRC",,,85.7,,,,,,,,,,,
CRI,COSTA RICA,,96.8,,,,,,,,,,,,
DJI,DJIBOUTI,,,,,,,47.0,,,,,,,
DOM,DOMINICAN REPUBLIC,,,,,,,,,,,,,,100.0
GEO,GEORGIA,,,,,,,,95.0,,,,,,
GHA,GHANA,,95.2,,,,,90.1,,,,,,,
GMB,GAMBIA,,,,,,,,97.9,,,,,,
GNB,GUINEA-BISSAU,,,,,,,74.3,,,,,,,
GUY,GUYANA,,,,,,,79.6,,,,,,,
IRQ,IRAQ,,66.1,,,,,74.6,,,,,,,
JAM,JAMAICA,,,,,,,,92.2,,,,,,
KAZ,KAZAKHSTAN,,,99.4,,,,99.7,,,,,,,
KGZ,KYRGYZSTAN,,,,,,,,95.4,,,,,,
LAO,LAOS ,,45.9,,,,,27.1,,,,,,,
MKD,MACEDONIA,,97.5,,,,,,98.5,,,,,,
MNE,MONTENEGRO,,,,,,,,97.4,,,,,,
MNG,MONGOLIA,,,99.0,,,,,98.8,,,,,,
MOZ,MOZAMBIQUE,,,,,86.1,,,,,,,,,
MRT,MAURITANIA,,,,,,66.1,,,,,,,,
MWI,MALAWI,,,,,,,91.0,,,,,,,
NGA,NIGERIA,,56.4,,,,86.0,,,,,,,,
NPL,NEPAL,,,42.0,,,,,,,,,,,
SLE,SIERRA LEONE,,,92.5,,,,,88.4,,,,,,
SOM,SOMALIA,,,,,,,14.9,,,,,,,
SRB,SERBIA,,,98.2,,,,,98.4,,,,,,
SUR,SURINAME,,,95.5,,,,80.9,,,,,,,
SWZ,SWAZILAND,,,97.4,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,,77.9,,,,,,,
TGO,TOGO,,,59.7,,,,76.8,,,,,,,
THA,THAILAND,,,,,,,,97.8,,,,,,
TJK,TAJIKISTAN,,,,,,,,74.4,,,,,,
UKR,UKRAINE,,,,,,,,98.2,,,,,,
UZB,UZBEKISTAN,,,,,,,99.0,,,,,,,
VNM,VIET NAM,,,92.0,,,,88.6,,,,,,,
VUT,VANUATU,,,,,,83.7,,,,,,,,
YEM,YEMEN,,,,,,,39.3,,,,,,,
ZWE,ZIMBABWE,,,,87.9,,,,,,,,,,
