Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005
ALB,ALBANIA,,,,,,,,98.1
BDI,BURUNDI,,,,,,,,94.7
BFA,BURKINA FASO,,,,,,,98.1,
BGD,BANGLADESH,,,,,,,65.6,
BIH,BOSNIA AND HERZEGOWINA,,85.3,,,,,97.4,
BLR,BELARUS,100.0,,,,,,,99.3
BLZ,BELIZE,,97.3,,,,,94.8,
BTN,BHUTAN,,,98.8,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,88.3,,,,90.9,
CIV,COTE D'IVOIRE,,,,,,,95.5,
CMR,CAMEROON,,,,,,,89.2,
COD,"CONGO, THE DRC",,,92.0,,,,,
CRI,COSTA RICA,,98.9,,,,,,
DJI,DJIBOUTI,,,,,,,93.9,
GEO,GEORGIA,,,,,,,,97.6
GHA,GHANA,,98.0,,,,,96.0,
GMB,GAMBIA,,,,,,,,97.5
GNB,GUINEA-BISSAU,,,,,,,87.0,
GUY,GUYANA,,,,,,,87.2,
IRQ,IRAQ,,83.3,,,,,89.5,
JAM,JAMAICA,,,,,,,,89.3
KAZ,KAZAKHSTAN,,,99.0,,,,100.0,
KGZ,KYRGYZSTAN,,,,,,,,99.0
LAO,LAOS ,,83.4,,,,,76.2,
MKD,MACEDONIA,,99.6,,,,,,97.7
MNE,MONTENEGRO,,,,,,,,97.3
MNG,MONGOLIA,,,99.1,,,,,98.9
MOZ,MOZAMBIQUE,,,,,96.4,,,
MRT,MAURITANIA,,,,,,88.0,,
MWI,MALAWI,,,,,,,97.2,
NGA,NIGERIA,,87.6,,,,50.1,,
NPL,NEPAL,,,73.4,,,,,
SLE,SIERRA LEONE,,,94.3,,,,,79.3
SOM,SOMALIA,,,,,,,45.5,
SRB,SERBIA,,,99.7,,,,,97.9
SUR,SURINAME,,,94.5,,,,95.5,
SWZ,SWAZILAND,,,94.8,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,,90.0,
TGO,TOGO,,,94.9,,,,96.2,
THA,THAILAND,,,,,,,,97.8
TJK,TAJIKISTAN,,,,,,,,85.4
UKR,UKRAINE,,,,,,,,99.2
UZB,UZBEKISTAN,,,,,,,99.1,
VNM,VIET NAM,,,97.9,,,,98.0,
VUT,VANUATU,,,,,,87.4,,
YEM,YEMEN,,,,,,,68.2,
ZWE,ZIMBABWE,,,,90.6,,,,
