Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005
ALB,ALBANIA,,,,,,,,99.6
ARM,ARMENIA,,,100.0,,,,,
BDI,BURUNDI,,,,,,,,31.7
BFA,BURKINA FASO,,,,,,,50.6,
BGD,BANGLADESH,,,,,,,14.0,
BIH,BOSNIA AND HERZEGOWINA,,99.9,,,,,99.6,
BLR,BELARUS,100.0,,,,,,,100.0
BLZ,BELIZE,,94.8,,,,,92.8,
BTN,BHUTAN,,,54.2,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,38.1,,,,35.0,
CIV,COTE D'IVOIRE,,,,,,,40.0,
CMR,CAMEROON,,,,,,,41.8,
COD,"CONGO, THE DRC",,,67.4,,,,,
CRI,COSTA RICA,,97.1,,,,,,
DJI,DJIBOUTI,,,,,,,40.3,
GEO,GEORGIA,,,,,,,,97.6
GHA,GHANA,,53.9,,,,,35.1,
GMB,GAMBIA,,,,,,,,43.4
GNB,GUINEA-BISSAU,,,,,,,26.8,
GUY,GUYANA,,,,,,,81.5,
IRQ,IRAQ,,84.5,,,,,78.1,
JAM,JAMAICA,,,,,,,,94.4
KAZ,KAZAKHSTAN,,,100.0,,,,99.9,
KGZ,KYRGYZSTAN,,,,,,,,96.0
LAO,LAOS ,,30.7,,,,,11.0,
MKD,MACEDONIA,,98.3,,,,,,97.9
MNE,MONTENEGRO,,,,,,,,97.8
MNG,MONGOLIA,,,98.0,,,,,98.9
MOZ,MOZAMBIQUE,,,,,45.9,,,
MRT,MAURITANIA,,,,,,39.1,,
MWI,MALAWI,,,,,,,49.5,
NGA,NIGERIA,,37.1,,,,72.8,,
NPL,NEPAL,,,26.1,,,,,
SLE,SIERRA LEONE,,,58.9,,,,,76.4
SOM,SOMALIA,,,,,,,14.5,
SRB,SERBIA,,,99.6,,,,,99.1
SUR,SURINAME,,,86.1,,,,81.7,
SWZ,SWAZILAND,,,79.6,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,,88.4,
TGO,TOGO,,,43.2,,,,65.1,
THA,THAILAND,,,,,,,,96.5
TJK,TAJIKISTAN,,,,,,,,81.3
UKR,UKRAINE,,,,,,,,99.7
UZB,UZBEKISTAN,,,,,,,99.9,
VNM,VIET NAM,,,90.5,,,,84.5,
VUT,VANUATU,,,,,,71.6,,
YEM,YEMEN,,,,,,,26.3,
ZWE,ZIMBABWE,,,,48.5,,,,
