Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
ALB,ALBANIA,,,,,,,,100.0,,,,,,,,,,
BDI,BURUNDI,,,,,,,,74.9,,,,,,,,,,
BFA,BURKINA FASO,,,,,,,66.2,,,,,,,,,,,
BGD,BANGLADESH,,,,,,,36.9,,,,,,,,,,,
BIH,BOSNIA AND HERZEGOWINA,,100.0,,,,,99.5,,,,,,,,,,,
BLR,BELARUS,99.9,,,,,,,100.0,,,,,,,,,,
BLZ,BELIZE,,98.4,,,,,99.3,,,,,,,,,,,
BTN,BHUTAN,,,89.4,,,,,,,,,,,,,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,82.9,,,,82.6,,,,,,,,,,,
CIV,COTE D'IVOIRE,,,,,,,84.1,,,,,,,,,,,
CMR,CAMEROON,,,,,,,82.4,,,,,,,,,,,
COD,"CONGO, THE DRC",,,94.0,,,,,,,,,,,,,,,
CRI,COSTA RICA,,99.3,,,,,,,,,,,,,,,,
DJI,DJIBOUTI,,,,,,,94.7,,,,,,,,,,,
GEO,GEORGIA,,,,,,,,98.9,,,,,,,,,,
GHA,GHANA,,88.2,,,,,76.9,,,,,,,,,,,
GMB,GAMBIA,,,,,,,,83.0,,,,,,,,,,
GNB,GUINEA-BISSAU,,,,,,,68.7,,,,,,,,,,,
GUY,GUYANA,,,,,,,88.9,,,,,,,,,,,
IRQ,IRAQ,,93.9,,,,,95.0,,,,,,,,,,,
JAM,JAMAICA,,,,,,,,98.5,,,,,,,,,,
KAZ,KAZAKHSTAN,,,99.7,,,,99.8,,,,,,,,,,,100.0
KGZ,KYRGYZSTAN,,,,,,,,99.9,,,,,,,,,,
LAO,LAOS ,,79.6,,,,,67.8,,,,,,,,,,,
MKD,MACEDONIA,,98.3,,,,,,98.3,,,,,,,,,,
MNE,MONTENEGRO,,,,,,,,99.5,,,,,,,,,,
MNG,MONGOLIA,,,99.4,,,,,99.5,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,,78.3,,,,,,,,,,,,,
MRT,MAURITANIA,,,,,,90.1,,,,,,,,,,,,
MWI,MALAWI,,,,,,,77.8,,,,,,,,,,,
NGA,NIGERIA,,73.9,,,,31.5,,,,,,,,,,,,
NPL,NEPAL,,,53.2,,,,,,,,,,,,,,,
SLE,SIERRA LEONE,,,71.8,,,,,34.9,,,,,,,,,,
SOM,SOMALIA,,,,,,,65.0,,,,,,,,,,,
SRB,SERBIA,,,99.8,,,,,98.9,,,,,,,,,,
SUR,SURINAME,,,96.5,,,,94.8,,,,,,,,,,,
SWZ,SWAZILAND,,,89.3,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,,97.6,,,,,,,,,,,
TGO,TOGO,,,91.1,,,,94.3,,,,,,,,,,,
THA,THAILAND,,,,,,,,99.4,,,,,,,,,,
TJK,TAJIKISTAN,,,,,,,,89.4,,,,,,,,,,
UKR,UKRAINE,,,,,,,,99.9,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,100.0,,,,,,,,,,100.0,
VNM,VIET NAM,,,98.8,,,,98.3,,,,,,,,,,,
VUT,VANUATU,,,,,,86.8,,,,,,,,,,,,
YEM,YEMEN,,,,,,,61.7,,,,,,,,,,,
ZWE,ZIMBABWE,,,,89.5,,,,,,,,,,,,,,
