Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,56.8,,,,,,,,,,,,,,,
ARM,ARMENIA,,,88.8,,,,,53.0,,,,,45.4,,,,,,,
AZE,AZERBAIJAN,,,,,,,29.7,,,,,,,,,,,,,
BDI,BURUNDI,,,32.8,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,54.6,,,,,56.8,,,,,,,,
BFA,BURKINA FASO,,,31.0,,,,,,,15.0,,,,,21.8,,,,,
BGD,BANGLADESH,,17.9,,,,15.9,,,11.3,,,,,6.3,,,4.1,,,
BOL,BOLIVIA,,,,,59.5,,,,,42.8,,,,,29.0,,,,,
BRA,BRAZIL,,,,,,,,,,,,,,,,,59.1,,,
CIV,COTE D'IVOIRE,,32.9,,,,,,,,,,,,,30.0,,,,,
CMR,CAMEROON,,50.2,,,,,,,48.4,,,,,,,,,,,
COD,"CONGO, THE DRC",,,,,,42.6,,,,,,,,,,,,,,
COG,CONGO,,68.5,,,,,,67.6,,,,,,,,,,,,
COL,COLOMBIA,,,81.4,,,,,73.3,,,,,67.7,,,,,55.9,,
DOM,DOMINICAN REPUBLIC,,,,,,94.2,,,,,92.1,,,91.0,,,84.4,,,
EGY,EGYPT,,,,,57.9,,,51.1,,,,,28.3,,,,,16.1,,
ETH,ETHIOPIA,,14.4,,,,,,8.1,,,,,6.1,,,,,,,
GAB,GABON,58.2,,,,,,,,,,,,44.5,,,,,,,
GHA,GHANA,,,,,71.5,,,,,61.0,,,,,58.5,,,,,
GIN,GUINEA,,,,,,,,43.4,,,,,,41.9,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,65.9,,,62.8,,
GUY,GUYANA,,,,77.3,,,,,,,,,,,,,,,,
HND,HONDURAS,,86.4,,,,,,75.8,,,,,,,,,,,,
HTI,HAITI,61.8,,,,,,,46.1,,,,,35.3,,,,,,26.6,
IDN,INDONESIA,82.9,,,,,75.5,,,,,75.2,,,,,66.0,,,56.9,
IND,INDIA,,,,,,,,27.7,,,,,,,,,,,,
JOR,JORDAN,93.5,,,,,90.7,,,,,86.4,,,,,78.2,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,69.9,,,,,,
KEN,KENYA,,,,,43.8,,,,,48.6,,,,,,,,,,62.6
KHM,CAMBODIA,,,55.3,,,,,24.4,,,,,6.6,,,,,,,
LBR,LIBERIA,,,,,,60.9,,,,,,,,,,,,,,
LSO,LESOTHO,,,,66.3,,,,,67.0,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,14.9,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,89.4,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,46.3,,,,,36.7,,,,,,,,,,
MDV,MALDIVES,,,,87.1,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,27.6,,,,,21.0,,,,,,,,
MOZ,MOZAMBIQUE,,46.9,,,,,,,,45.2,,,,,,,,,,
MWI,MALAWI,,,44.9,,,,,,55.7,,,,54.1,,,,,,,
NAM,NAMIBIA,,,,,,,68.4,,,,,,65.5,,,,,,,
NER,NIGER,30.5,,,,,,11.1,,,,,,,,,,,,,
NGA,NIGERIA,,,,,34.4,,,,,37.6,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,59.3,,,,53.4,,,,
NPL,NEPAL,,47.7,,,,,26.0,,,,,11.8,,,,,,,,
PAK,PAKISTAN,25.8,,,,,,19.8,,,,,,,,,,,,,
PER,PERU,,,,87.6,,,84.1,,,,,,50.9,,,,26.9,,,
PHL,PHILIPPINES,,,,,72.6,,,,,62.3,,,,,52.5,,,,,44.6
RWA,RWANDA,,,34.7,,,,,12.6,,,,,8.9,,,,,,,
SEN,SENEGAL,,,41.5,,,,,33.0,,,,,,,,13.8,,,,
SLE,SIERRA LEONE,,,,,52.2,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,68.9,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,77.8,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,11.7,,,,,,,,9.2,,,
TJK,TAJIKISTAN,49.1,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,52.5,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,32.5,,,,,30.0,,,,,22.5
TZA,"TANZANIA, UNITED REPUBLIC OF",,,39.2,,,,,,58.6,,,,,65.3,,,68.1,,,
UGA,UGANDA,,45.8,,,,,45.3,,,,,,38.4,,,,,45.0,,
UKR,UKRAINE,,,,,,82.6,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,71.3,,,,,
ZMB,ZAMBIA,,,,,,61.2,,,,,,67.5,,,,,64.9,,,
ZWE,ZIMBABWE,,,64.3,,,,,68.9,,,,,,67.0,,,,,,
