Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALB,ALBANIA,,,,,84.4,,,,,,,,,,,,,,,
ARM,ARMENIA,,,96.2,,,,,82.1,,,,,81.0,,,,,,,
AZE,AZERBAIJAN,,,,,,,64.2,,,,,,,,,,,,,
BDI,BURUNDI,,,39.3,,,,,,,,,,,,,,,,,
BEN,BENIN,,,,,,,70.3,,,,,69.1,,,,,62.7,,,
BFA,BURKINA FASO,,,44.7,,,,,,,31.4,,,,,32.8,,,,,
BGD,BANGLADESH,,44.7,,,,38.3,,,36.5,,,,,30.6,,,33.4,,,28.1
BOL,BOLIVIA,,,,,81.5,,,,,67.6,,,,,64.8,,,,48.9,
BRA,BRAZIL,,,,,,,,,,,,,,,,,85.4,,,
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,53.5,
CIV,COTE D'IVOIRE,,60.4,,,,,,,,,,,,,51.7,,,,40.8,
CMR,CAMEROON,,75.7,,,,,,,73.9,,,,,,66.7,,,,,
COD,"CONGO, THE DRC",,,,,,51.4,,,,,,,,,,,,,,
COG,CONGO,,83.1,,,,,,80.8,,,,,,,,,,,,
COL,COLOMBIA,,,90.3,,,,,87.1,,,,,84.9,,,,,82.4,,
COM,COMOROS,,,,,,,,,,,,,,,,,61.8,,,
DOM,DOMINICAN REPUBLIC,,,,,,94.6,,,,,93.4,,,93.4,,,90.2,,,
EGY,EGYPT,,,,,82.1,,,76.9,,,,,56.9,,,,,51.9,,
ETH,ETHIOPIA,,44.4,,,,,,51.8,,,,,41.4,,,,,,,
GAB,GABON,80.7,,,,,,,,,,,,69.5,,,,,,,
GHA,GHANA,,,,,87.5,,,,,86.0,,,,,76.9,,,,,81.7
GIN,GUINEA,,,,,,,,65.1,,,,,,70.3,,,,,,
GTM,GUATEMALA,,,,,,,,,,,,,,,78.0,,,73.3,,
GUY,GUYANA,,,,80.9,,,,,,,,,,,,,,,,
HND,HONDURAS,,91.2,,,,,,87.1,,,,,,,,,,,,
HTI,HAITI,73.9,,,,,,,66.6,,,,,58.6,,,,,,54.3,
IDN,INDONESIA,92.7,,,,,89.4,,,,,86.7,,,,,88.0,,,86.8,
IND,INDIA,,,,,,,,61.2,,,,,,,55.4,,,,,
JOR,JORDAN,94.5,,,,,95.1,,,,,91.8,,,,,88.3,,,,
KAZ,KAZAKHSTAN,,,,,,,,,,,,,,72.0,,,,84.0,,
KEN,KENYA,,,,,58.8,,,,,65.3,,,,,69.4,,,,,71.7
KGZ,KYRGYZSTAN,,,,,,,,,,,,,,,,83.5,,,,
KHM,CAMBODIA,,,82.2,,,,,43.8,,,,,23.4,,,,,,,
LBR,LIBERIA,,,,,,76.4,,,,,,,,,,,,,,
LSO,LESOTHO,,,,80.8,,,,,82.9,,,,,,,,,,,
MAR,MOROCCO,,,,,,,,,,44.1,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",,,,,,,,87.2,,,,,,,,,,,,
MDG,MADAGASCAR,,,,,68.9,,,,,52.6,,,,,,50.4,,,,
MDV,MALDIVES,,,,81.4,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,54.7,,,,,57.8,,,,,,52.4,,
MOZ,MOZAMBIQUE,,58.1,,,,,,,,69.2,,,,,,61.6,,,,
MWI,MALAWI,,,47.1,,,,,,63.7,,,,68.4,,,,,,,
NAM,NAMIBIA,,,,,,,72.6,,,,,,75.9,,,,,,,
NER,NIGER,46.6,,,,,,35.1,,,,,,,,35.1,,,,,
NGA,NIGERIA,,,,,68.6,,,,,71.1,,,,65.9,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,81.6,,,,73.9,,,,
NPL,NEPAL,,73.6,,,,,51.4,,,,,49.4,,,,,36.8,,,
PAK,PAKISTAN,61.4,,,,,,48.8,,,,,,,,,,,,,
PER,PERU,,,,95.3,,,93.6,,,,,,81.4,,,,68.1,,,
PHL,PHILIPPINES,,,,,81.2,,,,,76.3,,,,,75.8,,,,,63.3
RWA,RWANDA,,,41.6,,,,,17.5,,,,,18.8,,,,,,,
SEN,SENEGAL,,,62.4,,,,,50.6,,,,,,,,25.2,,,,
SLE,SIERRA LEONE,,,,,64.0,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,74.1,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,,,83.6,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,42.5,,,,,,,,36.5,,,
TGO,TOGO,,,,,,,,,,,,,,,64.1,,,,,
TJK,TAJIKISTAN,64.1,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,61.0,,,,,,,,,,,,,,,,
TUR,TURKEY,,,,,,,,,,64.7,,,,,54.2,,,,,50.7
TZA,"TANZANIA, UNITED REPUBLIC OF",,,52.2,,,,,,67.9,,,,,84.7,,,75.4,,,
UGA,UGANDA,,55.7,,,,,58.9,,,,,,64.7,,,,,67.4,,
UKR,UKRAINE,,,,,,76.7,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,,,,,,,82.3,,,
VNM,VIET NAM,,,,,,,,,,,56.5,,,,,42.5,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,,,,,,75.0,,,,,
ZMB,ZAMBIA,,,,,,56.1,,,,,,77.5,,,,,78.8,,,
ZWE,ZIMBABWE,,,64.1,,,,,74.9,,,,,,59.9,,,,,81.6,
